path,label
C:\Users\ADMIN\Downloads\music_dataset\Mandolin\1105.wav,Mandolin
C:\Users\ADMIN\Downloads\music_dataset\flute\3006.wav,flute
C:\Users\ADMIN\Downloads\music_dataset\Shakers\766.wav,Shakers
C:\Users\ADMIN\Downloads\music_dataset\Drum_set\344.wav,Drum_set
C:\Users\ADMIN\Downloads\music_dataset\Dobro\449.wav,Dobro
C:\Users\ADMIN\Downloads\music_dataset\Accordion\1075.wav,Accordion
C:\Users\ADMIN\Downloads\music_dataset\Organ\46.wav,Organ
C:\Users\ADMIN\Downloads\music_dataset\Trombone\1927.wav,Trombone
C:\Users\ADMIN\Downloads\music_dataset\Organ\434.wav,Organ
C:\Users\ADMIN\Downloads\music_dataset\Drum_set\428.wav,Drum_set
C:\Users\ADMIN\Downloads\music_dataset\vibraphone\84.wav,vibraphone
C:\Users\ADMIN\Downloads\music_dataset\Keyboard\1701.wav,Keyboard
C:\Users\ADMIN\Downloads\music_dataset\Bass_Guitar\131.wav,Bass_Guitar
C:\Users\ADMIN\Downloads\music_dataset\Accordion\2861.wav,Accordion
C:\Users\ADMIN\Downloads\music_dataset\Horn\642.wav,Horn
C:\Users\ADMIN\Downloads\music_dataset\Keyboard\595.wav,Keyboard
C:\Users\ADMIN\Downloads\music_dataset\Horn\977.wav,Horn
C:\Users\ADMIN\Downloads\music_dataset\Mandolin\1416.wav,Mandolin
C:\Users\ADMIN\Downloads\music_dataset\Trumpet\88.wav,Trumpet
C:\Users\ADMIN\Downloads\music_dataset\vibraphone\139.wav,vibraphone
C:\Users\ADMIN\Downloads\music_dataset\Piano\258.wav,Piano
C:\Users\ADMIN\Downloads\music_dataset\Mandolin\2058.wav,Mandolin
C:\Users\ADMIN\Downloads\music_dataset\Accordion\2834.wav,Accordion
C:\Users\ADMIN\Downloads\music_dataset\flute\219.wav,flute
C:\Users\ADMIN\Downloads\music_dataset\flute\3470.wav,flute
C:\Users\ADMIN\Downloads\music_dataset\Accordion\779.wav,Accordion
C:\Users\ADMIN\Downloads\music_dataset\Ukulele\436.wav,Ukulele
C:\Users\ADMIN\Downloads\music_dataset\Hi_Hats\88.wav,Hi_Hats
C:\Users\ADMIN\Downloads\music_dataset\Acoustic_Guitar\1639.wav,Acoustic_Guitar
C:\Users\ADMIN\Downloads\music_dataset\Banjo\591.wav,Banjo
C:\Users\ADMIN\Downloads\music_dataset\Keyboard\286.wav,Keyboard
C:\Users\ADMIN\Downloads\music_dataset\Keyboard\1638.wav,Keyboard
C:\Users\ADMIN\Downloads\music_dataset\Keyboard\206.wav,Keyboard
C:\Users\ADMIN\Downloads\music_dataset\Shakers\317.wav,Shakers
C:\Users\ADMIN\Downloads\music_dataset\Bass_Guitar\2544.wav,Bass_Guitar
C:\Users\ADMIN\Downloads\music_dataset\Drum_set\2280.wav,Drum_set
C:\Users\ADMIN\Downloads\music_dataset\Bass_Guitar\3022.wav,Bass_Guitar
C:\Users\ADMIN\Downloads\music_dataset\Banjo\3014.wav,Banjo
C:\Users\ADMIN\Downloads\music_dataset\Cymbals\139.wav,Cymbals
C:\Users\ADMIN\Downloads\music_dataset\Harmonium\754.wav,Harmonium
C:\Users\ADMIN\Downloads\music_dataset\Acoustic_Guitar\389.wav,Acoustic_Guitar
C:\Users\ADMIN\Downloads\music_dataset\Drum_set\515.wav,Drum_set
C:\Users\ADMIN\Downloads\music_dataset\Mandolin\192.wav,Mandolin
C:\Users\ADMIN\Downloads\music_dataset\Piano\564.wav,Piano
C:\Users\ADMIN\Downloads\music_dataset\Floor_Tom\33.wav,Floor_Tom
C:\Users\ADMIN\Downloads\music_dataset\Trombone\835.wav,Trombone
C:\Users\ADMIN\Downloads\music_dataset\Banjo\1860.wav,Banjo
C:\Users\ADMIN\Downloads\music_dataset\vibraphone\281.wav,vibraphone
C:\Users\ADMIN\Downloads\music_dataset\Mandolin\1216.wav,Mandolin
C:\Users\ADMIN\Downloads\music_dataset\Mandolin\1792.wav,Mandolin
C:\Users\ADMIN\Downloads\music_dataset\Piano\490.wav,Piano
C:\Users\ADMIN\Downloads\music_dataset\Drum_set\611.wav,Drum_set
C:\Users\ADMIN\Downloads\music_dataset\Keyboard\1684.wav,Keyboard
C:\Users\ADMIN\Downloads\music_dataset\Shakers\1.wav,Shakers
C:\Users\ADMIN\Downloads\music_dataset\Clarinet\330 (257).wav,Clarinet
C:\Users\ADMIN\Downloads\music_dataset\Banjo\1789.wav,Banjo
C:\Users\ADMIN\Downloads\music_dataset\Tambourine\202.wav,Tambourine
C:\Users\ADMIN\Downloads\music_dataset\Acoustic_Guitar\3249.wav,Acoustic_Guitar
C:\Users\ADMIN\Downloads\music_dataset\Mandolin\2351.wav,Mandolin
C:\Users\ADMIN\Downloads\music_dataset\Saxophone\291.wav,Saxophone
C:\Users\ADMIN\Downloads\music_dataset\Banjo\1024.wav,Banjo
C:\Users\ADMIN\Downloads\music_dataset\cowbell\192.wav,cowbell
C:\Users\ADMIN\Downloads\music_dataset\Mandolin\817.wav,Mandolin
C:\Users\ADMIN\Downloads\music_dataset\Mandolin\1604.wav,Mandolin
C:\Users\ADMIN\Downloads\music_dataset\flute\1798.wav,flute
C:\Users\ADMIN\Downloads\music_dataset\Bass_Guitar\3230.wav,Bass_Guitar
C:\Users\ADMIN\Downloads\music_dataset\Drum_set\1057.wav,Drum_set
C:\Users\ADMIN\Downloads\music_dataset\Ukulele\256.wav,Ukulele
C:\Users\ADMIN\Downloads\music_dataset\Trombone\976.wav,Trombone
C:\Users\ADMIN\Downloads\music_dataset\Trombone\2079.wav,Trombone
C:\Users\ADMIN\Downloads\music_dataset\Drum_set\3218.wav,Drum_set
C:\Users\ADMIN\Downloads\music_dataset\Drum_set\2939.wav,Drum_set
