Class,Precision,Recall,F1-Score,Support
cel,0.5670103092783505,0.7051282051282052,0.6285714285714287,78
cla,0.6396396396396397,0.7029702970297029,0.669811320754717,101
flu,0.675,0.5934065934065934,0.6315789473684211,91
gac,0.7753623188405797,0.8359375,0.8045112781954888,128
gel,0.656441717791411,0.7039473684210527,0.6793650793650794,152
org,0.8344827586206897,0.8832116788321168,0.8581560283687943,137
pia,0.8552631578947368,0.896551724137931,0.8754208754208755,145
sax,0.6767676767676768,0.5317460317460317,0.5955555555555555,126
tru,0.7232142857142857,0.6982758620689655,0.7105263157894737,116
vio,0.5777777777777777,0.4482758620689655,0.5048543689320388,116
voi,0.9056603773584906,0.9230769230769231,0.9142857142857143,156
