Run_ID,Dropout,LR,L2,Final_Val_Acc,Final_Val_Loss
1,0.3,0.001,0.001,0.8172,0.8647
2,0.3,0.001,0.0001,0.8150,0.9604
3,0.3,0.0005,0.001,0.8076,0.9053
4,0.3,0.0005,0.0001,0.8091,0.9010
5,0.3,0.0001,0.001,0.7563,1.0015
6,0.3,0.0001,0.0001,0.7571,0.8371
7,0.4,0.001,0.001,0.8143,0.9095
8,0.4,0.001,0.0001,0.8284,0.7298
9,0.4,0.0005,0.001,0.7890,0.8352
10,0.4,0.0005,0.0001,0.8001,0.6872
11,0.4,0.0001,0.001,0.7563,0.9393
12,0.4,0.0001,0.0001,0.7756,0.7820
13,0.5,0.001,0.001,0.8046,0.8507
14,0.5,0.001,0.0001,0.8165,0.7999
15,0.5,0.0005,0.001,0.8039,0.7812
16,0.5,0.0005,0.0001,0.8165,0.8005
17,0.5,0.0001,0.001,0.7623,0.9032
18,0.5,0.0001,0.0001,0.7697,0.7767
