filename,cel,cla,flu,gac,gel,org,pia,sax,tru,vio,voi
(02) dont kill the whale-1.wav,0,0,0,0,1,0,0,0,0,0,0
(02) dont kill the whale-11.wav,0,0,0,0,1,0,0,0,0,0,0
(02) dont kill the whale-12.wav,0,0,0,0,1,0,0,0,0,0,1
(02) dont kill the whale-13.wav,0,0,0,0,1,0,0,0,0,0,1
(02) dont kill the whale-14.wav,0,0,0,0,1,0,0,0,0,0,1
(02) dont kill the whale-15.wav,0,0,0,0,1,0,1,0,0,0,0
(02) dont kill the whale-2.wav,0,0,0,0,1,0,0,0,0,0,1
(02) dont kill the whale-3.wav,0,0,0,0,1,0,0,0,0,0,1
(02) dont kill the whale-4.wav,0,0,0,0,1,0,0,0,0,0,0
(02) dont kill the whale-6.wav,0,0,0,0,1,0,0,0,0,0,1
(02) dont kill the whale-8.wav,0,0,0,0,1,0,0,0,0,0,0
(02) dont kill the whale-9.wav,0,0,0,0,1,0,1,0,0,0,0
00 - gold fronts-1.wav,0,0,0,0,0,0,0,0,0,0,1
00 - gold fronts-10.wav,0,0,0,0,1,0,0,0,0,0,0
00 - gold fronts-12.wav,0,0,0,0,0,0,1,0,0,0,1
00 - gold fronts-13.wav,0,0,0,1,0,0,0,0,0,0,1
00 - gold fronts-2.wav,0,0,0,0,1,0,0,0,0,0,1
00 - gold fronts-3.wav,0,0,0,0,1,0,0,0,0,0,1
00 - gold fronts-4.wav,0,0,0,0,1,0,0,0,0,0,1
00 - gold fronts-5.wav,0,0,0,0,1,0,0,0,0,0,1
00 - gold fronts-7.wav,0,0,0,0,1,0,0,0,0,0,1
00 - gold fronts-8.wav,0,0,0,0,1,0,0,0,0,0,1
00 - yazoo - dont go-3.wav,0,0,0,0,0,0,0,0,0,0,1
00 - yazoo - dont go-4.wav,0,0,0,0,0,0,0,0,0,0,1
00 - yazoo - dont go-5.wav,0,0,0,0,0,0,0,0,0,0,1
00 - yazoo - dont go-8.wav,0,0,0,0,0,0,0,0,0,0,1
00 - yazoo - dont go-9.wav,0,0,0,0,0,0,0,0,0,0,1
01 - 999-1.wav,0,0,0,0,1,0,0,0,0,0,0
01 - 999-10.wav,0,0,0,0,1,0,0,0,0,0,1
01 - 999-11.wav,0,0,0,0,1,1,0,0,0,0,1
01 - 999-12.wav,0,0,0,0,1,0,0,0,0,0,1
01 - 999-13.wav,0,0,0,0,1,0,0,0,0,0,1
01 - 999-15.wav,0,0,0,0,1,1,0,0,0,0,1
01 - 999-17.wav,0,0,0,0,1,0,0,0,0,0,1
01 - 999-18.wav,0,0,0,0,1,0,0,0,0,0,1
01 - 999-2.wav,0,0,0,0,1,0,0,0,0,0,1
01 - 999-20.wav,0,0,0,0,1,1,0,0,0,0,1
01 - 999-4.wav,0,0,0,0,1,0,0,0,0,0,1
01 - 999-5.wav,0,0,0,0,1,1,0,0,0,0,1
01 - 999-6.wav,0,0,0,0,1,0,0,0,0,0,1
01 - 999-8.wav,0,0,0,0,1,1,0,0,0,0,1
01 - Airdrop-10.wav,0,0,0,0,1,0,0,0,0,0,0
01 - Airdrop-2.wav,0,0,0,0,1,0,0,0,0,0,0
01 - Airdrop-3.wav,0,0,0,0,1,0,0,0,0,0,1
01 - Airdrop-4.wav,1,0,0,0,1,0,0,0,0,0,0
01 - Airdrop-6.wav,0,0,0,0,1,0,0,0,0,0,1
01 - Airdrop-8.wav,0,0,0,0,1,0,0,0,0,0,0
01 - Airdrop-9.wav,0,0,0,0,1,0,0,0,0,0,0
01 - Canto das tre╠és rac╠ºas-10.wav,0,0,0,1,0,0,0,0,0,0,1
01 - Canto das tre╠és rac╠ºas-11.wav,0,0,0,1,0,0,0,0,0,0,1
01 - Canto das tre╠és rac╠ºas-12.wav,0,0,0,1,0,0,0,0,0,0,1
01 - Canto das tre╠és rac╠ºas-13.wav,0,0,0,1,0,0,0,0,0,0,1
01 - Canto das tre╠és rac╠ºas-14.wav,0,0,0,1,0,0,0,0,0,0,1
01 - Canto das tre╠és rac╠ºas-2.wav,0,0,0,1,0,0,0,0,0,0,1
01 - Canto das tre╠és rac╠ºas-3.wav,0,0,0,1,0,0,0,0,0,0,1
01 - Canto das tre╠és rac╠ºas-4.wav,0,0,0,1,0,0,0,0,0,0,1
01 - Canto das tre╠és rac╠ºas-5.wav,0,0,0,1,0,0,0,0,0,0,1
01 - Canto das tre╠és rac╠ºas-6.wav,0,0,0,1,0,0,0,0,0,0,1
01 - Canto das tre╠és rac╠ºas-8.wav,0,0,0,0,0,0,0,0,0,0,1
01 - Canto das tre╠és rac╠ºas-9.wav,0,0,0,1,0,0,0,0,0,0,1
01 - Chet Baker - Prayer For The Newborn-1.wav,0,0,0,0,0,0,0,1,1,0,0
01 - Chet Baker - Prayer For The Newborn-11.wav,0,0,0,0,0,0,1,0,0,0,0
01 - Chet Baker - Prayer For The Newborn-12.wav,0,0,0,0,0,0,1,0,0,0,0
01 - Chet Baker - Prayer For The Newborn-14.wav,0,0,0,0,0,0,1,0,1,0,0
01 - Chet Baker - Prayer For The Newborn-15.wav,0,0,0,0,0,0,1,0,1,0,0
01 - Chet Baker - Prayer For The Newborn-17.wav,0,0,0,0,0,0,1,0,0,0,0
01 - Chet Baker - Prayer For The Newborn-18.wav,0,0,0,0,0,0,1,0,0,0,0
